Filename,Is_nonempty,Location,Heading,Ship
20171105_185402_Empty.jpg,0,,,
20171105_185419_Location-1B_Heading-East_Ship-Fishing-1.jpg,1,1B,East,Fishing-1
20171105_185451_Location-4C_Heading-East_Ship-Cruiser-1.jpg,1,4C,East,Cruiser-1
20171105_185518_Empty.jpg,0,,,
20171105_185533_Location-2D_Heading-West_Ship-Freighter.jpg,1,2D,West,Freighter
20171105_190017_Location-4C_Heading-East_Ship-Cruiser-3.jpg,1,4C,East,Cruiser-3
20171105_190038_Location-4C_Heading-East_Ship-Cruiser-2.jpg,1,4C,East,Cruiser-2
20171105_190059_Location-6A_Heading-East_Ship-Freighter.jpg,1,6A,East,Freighter
20171105_190126_Location-5A_Heading-West_Ship-Freighter.jpg,1,5A,West,Freighter
20171105_190140_Location-1B_Heading-East_Ship-Freighter.jpg,1,1B,East,Freighter
20171105_190159_Location-3A_Heading-West_Ship-Freighter.jpg,1,3A,West,Freighter
20171105_190214_Location-5A_Heading-West_Ship-Cruiser-1.jpg,1,5A,West,Cruiser-1
20171105_190227_Empty.jpg,0,,,
20171105_190239_Location-7C_Heading-East_Ship-Cruiser-3.jpg,1,7C,East,Cruiser-3
20171105_190300_Location-7B_Heading-East_Ship-Cruiser-1.jpg,1,7B,East,Cruiser-1
20171105_190339_Location-3C_Heading-East_Ship-Fishing-2.jpg,1,3C,East,Fishing-2
20171105_190401_Location-1D_Heading-East_Ship-Cruiser-3.jpg,1,1D,East,Cruiser-3
20171105_190417_Location-2C_Heading-East_Ship-Freighter.jpg,1,2C,East,Freighter
20171105_190437_Empty.jpg,0,,,
20171105_190446_Location-1A_Heading-East_Ship-Cruiser-3.jpg,1,1A,East,Cruiser-3
20171105_190517_Location-1C_Heading-East_Ship-Cruiser-3.jpg,1,1C,East,Cruiser-3
20171105_190536_Location-6A_Heading-East_Ship-Fishing-2.jpg,1,6A,East,Fishing-2
20171105_190553_Location-6D_Heading-East_Ship-Fishing-1.jpg,1,6D,East,Fishing-1
20171105_190607_Location-5C_Heading-West_Ship-Freighter.jpg,1,5C,West,Freighter
20171105_190631_Empty.jpg,0,,,
20171105_190643_Empty.jpg,0,,,
20171105_190654_Location-6C_Heading-West_Ship-Cruiser-3.jpg,1,6C,West,Cruiser-3
20171105_190714_Location-3D_Heading-East_Ship-Freighter.jpg,1,3D,East,Freighter
